epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,3392.54,0.35991,0.42918,0.9541,0.99039,0.66667,0.995,0.93202,0.28514,0.59692,0.87052,0.00033425,0.00033425,0.00033425
76,3436.72,0.47402,0.41798,1.07114,0.98413,0.66667,0.995,0.9438,0.28504,0.62506,0.84702,0.000321875,0.000321875,0.000321875
77,3482.26,0.37236,0.40987,0.94391,0.97988,0.66667,0.995,0.95395,0.30533,0.62124,0.84991,0.0003095,0.0003095,0.0003095
78,3526.55,0.34843,0.40875,0.9355,0.98385,0.66667,0.995,0.95527,0.26684,0.56994,0.83855,0.000297125,0.000297125,0.000297125
79,3568.54,0.35059,0.41951,0.93872,0.98789,0.66667,0.995,0.98845,0.27079,0.5593,0.8473,0.00028475,0.00028475,0.00028475
80,3612.23,0.40476,0.41618,0.98433,0.99011,0.66667,0.995,0.9487,0.28713,0.56107,0.85549,0.000272375,0.000272375,0.000272375
81,3655.48,0.33656,0.39496,0.90728,0.98939,0.66667,0.995,0.93414,0.30205,0.60144,0.86892,0.00026,0.00026,0.00026
82,3697.78,0.33593,0.37136,0.91063,0.98918,0.66667,0.71861,0.69325,0.30999,0.6383,0.88128,0.000247625,0.000247625,0.000247625
83,3741.39,0.31898,0.38473,0.92508,0.98759,0.66667,0.68284,0.65898,0.32267,0.64918,0.8825,0.00023525,0.00023525,0.00023525
84,3783.9,0.37605,0.47292,0.94426,0.98608,0.66667,0.68544,0.67217,0.3114,0.63277,0.87245,0.000222875,0.000222875,0.000222875
85,3825.84,0.35957,0.39726,0.91436,0.98506,0.66667,0.69348,0.67786,0.30077,0.66141,0.86564,0.0002105,0.0002105,0.0002105
86,3867.16,0.32792,0.3441,0.93117,0.98538,0.66667,0.70479,0.68259,0.29935,0.65865,0.86508,0.000198125,0.000198125,0.000198125
87,3910.03,0.34589,0.39233,0.95186,0.98667,0.66667,0.995,0.94603,0.27321,0.6276,0.84355,0.00018575,0.00018575,0.00018575
88,3952.06,0.31845,0.35397,0.89128,0.98629,0.66667,0.995,0.95398,0.24338,0.61712,0.83513,0.000173375,0.000173375,0.000173375
89,3995.23,0.34117,0.38679,0.92162,0.9851,0.66667,0.82917,0.82131,0.23273,0.60682,0.836,0.000161,0.000161,0.000161
90,4038.26,0.30738,0.36952,0.90544,0.98438,0.66667,0.995,0.95399,0.24875,0.61302,0.84294,0.000148625,0.000148625,0.000148625
91,4080.28,0.38141,0.65171,0.94944,0.9841,0.66667,0.995,0.93377,0.30876,0.64327,0.87239,0.00013625,0.00013625,0.00013625
92,4122.01,0.25891,0.36759,0.88612,0.98114,0.66667,0.995,0.72655,0.33317,0.66223,0.89701,0.000123875,0.000123875,0.000123875
93,4163.43,0.24468,0.38289,0.85289,0.9801,0.66667,0.995,0.81358,0.28934,0.65458,0.8774,0.0001115,0.0001115,0.0001115
94,4206.68,0.27823,0.36001,0.8693,0.98274,0.66667,0.82917,0.79675,0.27217,0.61323,0.86456,9.9125e-05,9.9125e-05,9.9125e-05
95,4250.23,0.21756,0.58094,0.78533,0.98511,0.66667,0.82917,0.79676,0.273,0.61872,0.86085,8.675e-05,8.675e-05,8.675e-05
96,4296.34,0.4057,0.62579,0.99876,0.98511,0.66667,0.77389,0.747,0.28615,0.63771,0.86423,7.4375e-05,7.4375e-05,7.4375e-05
97,4339.58,0.31815,0.37745,0.91562,0.98577,0.66667,0.77389,0.74698,0.28765,0.63164,0.86315,6.2e-05,6.2e-05,6.2e-05
98,4381.32,0.24012,0.32731,0.85144,0.98659,0.66667,0.82917,0.79673,0.28198,0.61917,0.85864,4.9625e-05,4.9625e-05,4.9625e-05
99,4423.9,0.22035,0.33081,0.81391,0.98757,0.66667,0.82917,0.79674,0.27172,0.59646,0.85211,3.725e-05,3.725e-05,3.725e-05
100,4469.66,0.28601,0.60848,0.88136,0.9882,0.66667,0.82917,0.81333,0.2651,0.58138,0.84858,2.4875e-05,2.4875e-05,2.4875e-05
